month,wavelength,irradiance,error
july,115.0,2.0154789248652157e-07,6.810683356505594e-09
july,116.0,2.557568176568268e-07,8.427983664645813e-09
july,117.0,8.62760361051425e-07,2.859231785077645e-08
july,118.0,3.448306972162778e-07,1.1305738730218226e-08
july,119.0,5.571801683221394e-07,1.80939762291831e-08
july,120.0,1.5290401453968556e-06,6.383776221337947e-08
july,121.0,6.787139177392008e-05,2.34929676910404e-06
july,122.0,6.822166700807614e-07,2.4496493651962813e-08
july,123.0,4.399456723079135e-07,1.450154941793315e-08
july,124.0,3.1670353162686703e-07,1.0544976704250764e-08
july,125.0,2.892126952026883e-07,9.609333118318e-09
july,126.0,3.821298285833831e-07,1.3375987726692263e-08
july,127.0,2.1060327055757254e-07,7.09572395517802e-09
july,128.0,1.663555118745124e-07,5.599587693568281e-09
july,129.0,1.8489393787509642e-07,6.217502538779032e-09
july,130.0,1.5885598040454844e-06,5.2114704869661484e-08
july,131.0,2.658372958625529e-07,8.847917329509547e-09
july,132.0,2.099121342741707e-07,7.093217864287551e-09
july,133.0,1.8717894796483627e-06,6.40186365993872e-08
july,134.0,1.9773689096543337e-07,6.5738032871195645e-09
july,135.0,4.487731050684054e-07,1.523594300931394e-08
july,136.0,2.797125404788159e-07,9.33322727847246e-09
july,137.0,3.0196575590238883e-07,1.0077427312468129e-08
july,138.0,2.986561904803413e-07,9.945476179061283e-09
july,139.0,7.613849529944516e-07,2.6686599169285352e-08
july,140.0,6.721908900327317e-07,2.2672495325595685e-08
july,141.0,4.201659685932331e-07,1.4055901081323738e-08
july,142.0,4.5455247754324637e-07,1.520325486726435e-08
july,143.0,5.17503737344241e-07,1.7229919674338937e-08
july,144.0,5.086261827659398e-07,1.6932457581687666e-08
july,145.0,5.393758090315157e-07,1.8014435083529097e-08
july,146.0,6.642682650441726e-07,2.2140768214922357e-08
july,147.0,8.319036266404e-07,2.7458039321655676e-08
july,148.0,8.460412480768475e-07,2.7860103468865634e-08
july,149.0,7.600961685139098e-07,2.507071534730061e-08
july,150.0,8.536299092141334e-07,2.8200060146181367e-08
july,151.0,9.184714153093823e-07,3.037382159247911e-08
july,152.0,1.1414895332569157e-06,3.807187904515758e-08
july,153.0,1.2632801025100134e-06,4.225051320383017e-08
july,154.0,2.1093723440884583e-06,7.174175496097036e-08
july,155.0,1.88595978922686e-06,6.397287320051777e-08
july,156.0,1.9338664406100044e-06,6.498620560405506e-08
july,157.0,1.7248192345744657e-06,5.7837308937809716e-08
july,158.0,1.7220287568481658e-06,5.742761755745485e-08
july,159.0,1.71931128263911e-06,5.7534398821483514e-08
july,160.0,1.9214046312559656e-06,6.442287995606714e-08
july,161.0,2.2594327081907768e-06,7.621567200282426e-08
july,162.0,2.600306832693372e-06,8.803679377269101e-08
july,163.0,2.777420992760666e-06,9.460602071992364e-08
july,164.0,3.1877846592370148e-06,1.0875780701792618e-07
july,165.0,5.110055526257295e-06,1.7728958642962679e-07
july,166.0,3.5114168784131865e-06,1.1958411966475043e-07
july,167.0,4.112874333706704e-06,1.4039557010298942e-07
july,168.0,4.544156231885321e-06,1.559878138606439e-07
july,169.0,6.030550337559546e-06,2.0754790992019736e-07
july,170.0,6.949178655950766e-06,2.408680227160795e-07
