UID;Molecular Formula
4;C$_{32}$H$_{14}$
11;C$_{32}$H$_{14}$-
18;C$_{24}$H$_{12}$
29;C$_{24}$H$_{12}$-
30;C$_{24}$H$_{13}$-
35;C$_{48}$H$_{18}$
37;C$_{54}$H$_{18}$
46;C$_{54}$H$_{18}$-
47;C$_{54}$H$_{19}$-
48;C$_{54}$H$_{19}$-
52;C$_{13}$H$_{9}$-
53;C$_{13}$H$_{9}$
54;C$_{13}$H$_{10}$
55;C$_{13}$H$_{10}$
57;C$_{19}$H$_{11}$
58;C$_{19}$H$_{12}$
59;C$_{19}$H$_{12}$
60;C$_{19}$H$_{12}$
61;C$_{19}$H$_{12}$
62;C$_{19}$H$_{12}$
63;C$_{19}$H$_{12}$
64;C$_{19}$H$_{11}$-
66;C$_{27}$H$_{13}$
67;C$_{27}$H$_{14}$
68;C$_{27}$H$_{14}$
69;C$_{27}$H$_{14}$
70;C$_{27}$H$_{14}$
71;C$_{27}$H$_{14}$
72;C$_{27}$H$_{14}$
73;C$_{27}$H$_{14}$
74;C$_{27}$H$_{13}$-
76;C$_{47}$H$_{17}$
78;C$_{47}$H$_{18}$
79;C$_{47}$H$_{18}$
80;C$_{47}$H$_{18}$
81;C$_{47}$H$_{18}$
82;C$_{47}$H$_{18}$
83;C$_{47}$H$_{18}$
84;C$_{47}$H$_{18}$
85;C$_{47}$H$_{18}$
86;C$_{47}$H$_{18}$
87;C$_{47}$H$_{17}$-
89;C$_{59}$H$_{19}$
90;C$_{59}$H$_{20}$
91;C$_{59}$H$_{20}$
92;C$_{59}$H$_{20}$
93;C$_{59}$H$_{20}$
94;C$_{59}$H$_{20}$
95;C$_{59}$H$_{20}$
96;C$_{59}$H$_{20}$
97;C$_{59}$H$_{20}$
98;C$_{59}$H$_{20}$
99;C$_{59}$H$_{20}$
100;C$_{48}$H$_{20}$
104;C$_{48}$H$_{20}$-
105;C$_{42}$H$_{18}$
108;C$_{96}$H$_{24}$
114;C$_{96}$H$_{24}$-
115;C$_{66}$H$_{20}$
116;C$_{66}$H$_{20}$-
120;C$_{78}$H$_{22}$
121;C$_{78}$H$_{22}$-
125;C$_{34}$H$_{16}$
127;C$_{34}$H$_{16}$-
128;C$_{36}$H$_{16}$
130;C$_{36}$H$_{16}$-
131;C$_{40}$H$_{18}$
133;C$_{40}$H$_{18}$-
134;C$_{42}$H$_{18}$
136;C$_{42}$H$_{18}$-
137;C$_{42}$H$_{22}$
139;C$_{42}$H$_{22}$-
140;C$_{44}$H$_{20}$
142;C$_{44}$H$_{20}$-
143;C$_{48}$H$_{22}$
145;C$_{48}$H$_{22}$-
146;C$_{48}$H$_{20}$
148;C$_{48}$H$_{20}$-
